seed,parameter,rank,flat_index,canonical_index,keras_value,pytorch_value,absolute_difference
42,bn3/gamma,9,102,[102],-0.0009946227073669434,-0.0009998083114624023,5.185604095458984e-06
42,bn3/gamma,10,80,[80],0.000995039939880371,0.0009998083114624023,4.76837158203125e-06
42,bn3/beta,1,23,[23],-0.000912223884370178,-0.0009967819787561893,8.455809438601136e-05
42,bn3/beta,2,54,[54],-0.0009707374265417457,-0.0009990677936002612,2.833036705851555e-05
42,bn3/beta,3,40,[40],-0.000976976123638451,-0.0009992700070142746,2.2293883375823498e-05
42,bn3/beta,4,12,[12],0.0009910666849464178,0.0009997133165597916,8.646631613373756e-06
42,bn3/beta,5,48,[48],-0.0009914193069562316,-0.0009997236775234342,8.304370567202568e-06
42,bn3/beta,6,50,[50],0.0009915990522131324,0.000999731128104031,8.132075890898705e-06
42,bn3/beta,7,35,[35],0.0009920033626258373,0.0009997449815273285,7.741618901491165e-06
42,bn3/beta,8,87,[87],0.0009920051088556647,0.000999743235297501,7.738126441836357e-06
42,bn3/beta,9,104,[104],-0.0009930765954777598,-0.0009997810702770948,6.704474799335003e-06
42,bn3/beta,10,82,[82],-0.0009936077985912561,-0.0009998006280511618,6.192829459905624e-06
42,conv4/kernel,1,153801,"[1, 1, 88, 201]",0.0009850484784692526,-0.0009968711528927088,0.0019819196313619614
42,conv4/kernel,2,251849,"[2, 1, 87, 201]",-0.000979788601398468,0.0009993687272071838,0.001979157328605652
42,conv4/kernel,3,189385,"[1, 2, 99, 201]",0.0009751208126544952,-0.0009991973638534546,0.00197431817650795
42,conv4/kernel,4,74441,"[0, 2, 34, 201]",-0.0009719301015138626,0.0009990483522415161,0.0019709784537553787
42,conv4/kernel,5,157641,"[1, 1, 103, 201]",0.0009746807627379894,-0.0009947412181645632,0.0019694219809025526
42,conv4/kernel,6,258249,"[2, 1, 112, 201]",0.0009635202586650848,-0.0009992420673370361,0.001962762326002121
42,conv4/kernel,7,260041,"[2, 1, 119, 201]",-0.0009481348097324371,0.0009990688413381577,0.0019472036510705948
42,conv4/kernel,8,177609,"[1, 2, 53, 201]",-0.0009459089487791061,0.0009976811707019806,0.0019435901194810867
42,conv4/kernel,9,5577,"[0, 0, 21, 201]",0.0008083134889602661,-0.000998619943857193,0.001806933432817459
42,conv4/kernel,10,72137,"[0, 2, 25, 201]",0.0002785511314868927,0.0009993268176913261,0.0007207756862044334
42,bn4/gamma,1,239,[239],0.0009905099868774414,0.0009996891021728516,9.179115295410156e-06
42,bn4/gamma,2,120,[120],-0.0009911656379699707,-0.000999748706817627,8.58306884765625e-06
